Released;Movie;Weekend;US Gross;Worldwide Gross;Budget;Type
08/04/1995;Babe;8742545;63658910;246100000;30000000;Adapted
11/25/1998;Babe: Pig in the City;6162640;18319860;69131860;80000000;Adapted
10/27/2006;Babel;389351;34302837;130612374;20000000;Original
06/27/2001;Baby Boy;8606403;28734552;NULL;16000000;Original
03/12/1999;Baby Geniuses;5613587;27151490;NULL;13000000;Original
04/25/2008;Baby Mama;17407110;60494212;64391484;30000000;Original
07/01/1994;Baby's Day Out;4044662;16581575;NULL;50000000;Original
08/29/2008;Babylon A.D.;9484627;22532572;70216497;45000000;Adapted
01/22/1999;Bacheha-Ye aseman;20100;933933;1628579;180000;Original
07/03/1985;Back to the Future;11332134;210609762;383874862;19000000;Original
11/22/1989;Back to the Future Part II;27835125;118450002;332000000;40000000;Original
05/24/1990;Back to the Future Part III;23703060;87666629;243700000;40000000;Original
04/07/1995;Bad Boys;15523358;65647413;141247413;23000000;Original
07/18/2003;Bad Boys II;46522560;138540870;272940870;130000000;Original
06/07/2002;Bad Company;11007367;30157016;69157016;70000000;Original
11/20/2009;Bad Lieutenant: Port of Call New Orleans;245398;1702112;8162545;25000000;Remake
11/26/2003;Bad Santa;12292952;60060328;60063017;18000000;Original
06/24/2011;Bad Teacher;31603106;100292856;216412265;19000000;Original
09/15/2000;Bait;5485591;15325127;15471969;35000000;Original
09/20/2002;Ballistic: Ecks vs. Sever;7010474;14294842;NULL;70000000;Original
10/06/2000;Bamboozled;190720;2185266;2373937;10000000;Original
04/28/1971;Bananas;NULL;NULL;NULL;2000000;Original
09/22/2006;Bandidas;NULL;NULL;18400000;35000000;Original
10/12/2001;Bandits;13050700;41523271;71523271;75000000;Original
08/14/2009;Bandslam;2231273;5210988;12210988;20000000;Original
04/01/1996;Bang;NULL;527;NULL;10000;Original
09/05/2008;Bangkok Dangerous;7783266;15298133;46598133;45000000;Remake
10/10/1968;Barbarella;NULL;NULL;NULL;9000000;Comics
09/13/2002;Barbershop;20627433;75781642;77081642;12000000;Original
02/06/2004;Barbershop 2: Back in Business;24241612;65070412;65842412;18000000;Original
04/03/1998;Barney's Great Adventure;2203865;11156471;NULL;15000000;TV
12/31/2010;Barney's Version;NULL;7502560;8845575;30000000;Adapted
08/04/2006;Barnyard;15820864;72779000;116618084;51000000;Original
01/01/1975;Barry Lyndon;NULL;20000000;NULL;11000000;Adapted
03/28/2003;Basic;11511960;26599248;42598498;50000000;Original
03/31/2006;Basic Instinct 2;3201420;5946136;35417162;70000000;Original
08/09/1996;Basquiat;83863;2962051;NULL;3000000;Real Events
01/01/1944;Bathing Beauty;NULL;3500000;NULL;2361000;Original
07/10/2008;Bathory;NULL;NULL;3436763;15000000;Adapted
06/23/1989;Batman;40489330;251188924;411348924;35000000;Comics
06/20/1997;Batman & Robin;42872605;107325195;238317814;125000000;Original
06/15/2005;Batman Begins;48745440;205343774;372743774;150000000;Comics
06/16/1995;Batman Forever;52784433;184031112;336529144;100000000;Original
06/19/1992;Batman Returns;45687710;162831698;266822354;80000000;Original
10/22/1999;Bats;4717902;10155691;NULL;6500000;Original
05/12/2000;Battlefield Earth;11548898;21471685;29725663;80000000;Adapted
03/04/2005;Be Cool;23450212;55849401;94849401;75000000;Adapted
02/22/2008;Be Kind Rewind;4050655;11175164;30575164;20000000;Original
03/04/2011;Beastly;9851102;27865571;38028230;17000000;Original
08/30/1991;Beastmaster 2: Through the Portal of Time;381889;773490;NULL;6000000;Adapted
09/29/2000;Beautiful;1409433;3134509;NULL;9000000;Original
11/13/1991;Beauty and the Beast;162146;218699359;451169359;20000000;Adapted
03/30/2005;Beauty Shop;12801465;36351350;38351350;25000000;SpinNULLOff
12/20/1996;Beavis and Butt-head Do America;20114233;63118386;NULL;12000000;TV
02/18/2005;Because of Winn-Dixie;10208431;32647042;33489775;15000000;Adapted
08/03/2007;Becoming Jane;972066;18663911;37588416;16500000;Real Events
10/20/2000;Bedazzled;13106526;37879996;90376224;48000000;Remake
12/25/2008;Bedtime Stories;27450296;110101975;218357961;80000000;Original
11/02/2007;Bee Movie;38021044;126631277;287594577;150000000;Original
09/15/2006;Beer League;302908;475000;NULL;2800000;Original
03/30/1988;Beetle Juice;8030897;73326666;NULL;15000000;Original
01/27/1995;Before Sunrise;1423537;5274005;NULL;2500000;Original
07/02/2004;Before Sunset;219425;5792822;11293790;2000000;Original
06/03/2011;Beginners;141340;5790894;10241757;3200000;Original
11/30/2001;Behind Enemy Lines;18736133;58855732;NULL;40000000;Original
10/29/1999;Being John Malkovich;637721;22858926;32382381;13000000;Original
10/15/2004;Being Julia;101126;7739049;11817530;18000000;Adapted
10/26/2007;Bella;1328448;8093373;9220041;3300000;Original
10/16/1998;Beloved;8165551;22852487;NULL;53000000;Adapted
12/30/1925;Ben-Hur;NULL;9000000;NULL;3900000;Adapted
11/18/1959;Ben-Hur;NULL;73000000;NULL;15000000;Adapted
